feature,importance,std
Price_per_Year,3.2657177542366456,0.043667052625907574
Prod. year,0.1737645262116457,0.0023914455075140016
Vehicle_Age,0.13031496698266776,0.0021591737061074892
Mileage_Age_Interaction,0.0002521953542321986,2.164242577652363e-05
Mileage,5.7844038999121936e-05,1.513530714444722e-05
Fuel type,2.7077099252614813e-05,6.914395215893046e-06
Levy,2.6554767443953686e-05,6.485963409026285e-06
Engine_Cylinders,1.9732385812243346e-05,2.739786769074223e-06
Engine volume,1.5238795314986842e-05,1.6486019855927193e-05
Model,7.723282413452105e-06,2.0821434563483355e-06
Color,6.313106364863596e-06,1.3524111250352774e-06
Wheel,3.957976031654375e-06,1.2893316236540167e-06
Premium_Leather,2.568662637070229e-06,8.559453429490506e-07
Cylinders,2.3028503657207546e-06,3.450184084820074e-06
Engine_Size_Category,1.9574041609460303e-06,6.523534599947162e-06
Manufacturer,1.699117774378589e-06,2.4200324834678797e-06
Leather interior,9.58903259529187e-07,3.2689880203353863e-07
Gear box type,4.863211667038847e-07,1.6465029143089842e-07
Drive wheels,4.257907808669081e-07,4.897720631888815e-06
Doors,1.2299510281366112e-07,5.577941018883509e-07
Mileage_Category,-1.064042931542275e-08,3.562162508742547e-08
Category,-5.461108484983157e-07,2.57665846968216e-06
Premium_Airbags,-2.614738888062629e-06,8.665280090362789e-07
Airbags,-3.606996212224267e-06,3.115357057547468e-06
